"Country","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","Active Cases","Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,"Total Tests",Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
Belize,605,52,5,1,38,562,3,"1,518.00",13,"5,592.00","14,030.00","398,588",11.63%,140,130,102,17
Guadeloupe,510,,15,,289,206,2,"1,275.00",37,"23,585.00","58,943.00","400,134",4.93%,81,89,111,60
Tanzania,509,,21,,183,305,7,8,0.4,,,"59,951,725",10.29%,,184,212,23
Taiwan,486,,7,,457,22,,20,0.3,"85,563.00","3,592.00","23,822,843",1.51%,176,187,207,156
Burundi,422,,1,,336,85,,35,0.08,"19,993.00","1,675.00","11,935,821",0.30%,186,190,205,190
Comoros,417,11,7,,396,14,,478,8,,,"872,036",1.74%,,141,152,149
Myanmar,399,5,6,,333,60,,7,0.1,"141,044.00","2,590.00","54,460,318",1.77%,179,189,213,147
Faeroe Islands,383,1,,,274,109,3,"7,834.00",,"80,312.00","1,642,742.00","48,889",,2,,31,
Papua New Guinea,361,14,4,1,198,159,,40,0.4,"14,439.00","1,610.00","8,969,502",1.98%,187,184,203,141
Sint Maarten,348,15,17,,133,198,3,"8,104.00",396,"1,983.00","46,179.00","42,942",11.33%,92,15,29,18
Mauritius,346,,10,,334,2,,272,8,"205,285.00","161,379.00","1,272,065",2.91%,32,141,169,109
Isle of Man,336,,24,,312,0,,"3,948.00",282,"9,423.00","110,734.00","85,096",7.14%,47,21,60,35
Martinique,336,,16,,98,222,2,895,43,"12,227.00","32,586.00","375,224",14.04%,112,85,127,15
Turks and Caicos,327,12,2,,56,269,3,"8,430.00",52,"1,940.00","50,015.00","38,788",3.45%,88,77,27,89
Eritrea,306,2,,,274,32,,86,,,,"3,553,053",,,,193,
Mongolia,298,,,,281,17,1,91,,"46,332.00","14,103.00","3,285,365",,139,,192,
Cambodia,273,,,,253,20,1,16,,"83,626.00","4,993.00","16,750,228",,172,,210,
Gibraltar,229,6,,,200,29,,"6,797.00",,"28,366.00","841,971.00","33,690",,5,,35,
French Polynesia,211,,,,68,143,2,751,,"9,912.00","35,257.00","281,134",,106,,131,
Cayman Islands,205,,1,,202,2,,"3,114.00",15,"33,978.00","516,171.00","65,827",0.49%,11,125,78,187
Bermuda,166,,9,,147,10,,"2,667.00",145,"36,203.00","581,621.00","62,245",5.77%,9,39,85,48
Barbados,156,1,7,,123,26,,543,24,"15,028.00","52,285.00","287,425",5.38%,85,104,146,55
Monaco,150,2,4,,115,31,1,"3,819.00",102,"51,953.00","1,322,632.00","39,280",3.36%,3,53,62,90
Bhutan,150,3,,,105,45,,194,,"66,835.00","86,488.00","772,767",,57,,182,
Brunei,143,,3,,139,1,,326,7,"49,399.00","112,769.00","438,054",2.11%,46,146,161,139
Seychelles,132,,,,126,6,,"1,341.00",,,,"98,431",,,,107,
Saint Martin,121,,5,,49,67,1,"3,122.00",129,"2,449.00","63,193.00","38,754",9.26%,76,44,77,27
Liechtenstein,99,1,1,,88,10,,"2,595.00",26,900,"23,595.00","38,143",1.12%,124,101,87,165
Antigua and Barbuda,94,,3,,89,2,1,959,31,"1,738.00","17,727.00","98,041",3.26%,132,97,122,93
St. Vincent Grenadines,58,,,,56,2,,523,,"3,033.00","27,327.00","110,989",,117,,148,
Macao,46,,,,46,0,,71,,"4,071.00","6,258.00","650,532",,167,,195,
Curaçao,36,,1,,31,4,,219,6,"1,080.00","6,578.00","164,187",3.13%,165,148,176,99
Fiji,28,,1,,20,7,,31,1,"6,693.00","7,459.00","897,343",4.76%,160,177,206,63
Saint Lucia,26,,,,25,1,,142,,"4,946.00","26,918.00","183,744",,119,,186,
Timor-Leste,25,,,,25,0,,19,,"4,238.00","3,206.00","1,321,774",,177,,208,
Grenada,24,,,,24,0,,213,,"6,252.00","55,526.00","112,596",,84,,178,
New Caledonia,23,,,,22,1,,80,,"11,838.00","41,410.00","285,874",,99,,194,
Laos,22,,,,19,3,,3,,"35,428.00","4,860.00","7,289,790",,173,,214,
Dominica,18,,,,18,0,,250,,"1,646.00","22,858.00","72,011",,126,,171,
Saint Kitts and Nevis,17,,,,17,0,,319,,"1,385.00","26,009.00","53,251",,120,,162,
St. Barth,16,,,,9,7,,"1,619.00",,"1,699.00","171,946.00","9,881",,28,,98,
Greenland,14,,,,14,0,,247,,"6,446.00","113,518.00","56,784",,45,,172,
Montserrat,13,,1,,12,0,,"2,604.00",200,61,"12,220.00","4,992",7.69%,145,31,86,32
Caribbean Netherlands,13,,,,7,6,,495,,424,"16,149.00","26,256",,136,,151,
Falkland Islands,13,,,,13,0,,"3,722.00",,"2,256.00","645,863.00","3,493",,6,,65,
Vatican City,12,,,,12,0,,"14,981.00",,,,801,,,,12,
British Virgin Islands,11,,1,,8,2,,364,33,"1,890.00","62,461.00","30,259",11.11%,78,94,158,21
Western Sahara,10,,1,,8,1,,17,2,,,"599,245",11.11%,,176,209,21
MS Zaandam,9,,2,,,7,,,,,,,100.00%,,,,1
Saint Pierre Miquelon,5,,,,1,4,,864,,,,"5,790",,,,128,
Anguilla,3,,,,3,0,,200,,662,"44,072.00","15,021",,97,,181,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
